"","title","nxturl","Mutantdata","struct"
"1","Germination rate","http://rice.sinica.edu.tw/TRIM2/showTable.php?Q=1","
M0033696","Development"
"2","Lethal","http://rice.sinica.edu.tw/TRIM2/showTable.php?Q=2","
M0005834M0006201M0006380M0006910M0008585M0009813M0011012M0011106M0011174M0011196M0011242M0011654M0012255M0012263M0012272M0012286M0012298M0012321M0012324M0012342M0012347M0012360M0012953M0012958M0013000M0013119M0013205M0013272M0013284M0013288M0013289M0013290M0013291M0013303M0013306M0013331M0013357M0013745M0013746M0014164M0014263M0014310M0014337M0014385M0014590M0014621M0014844M0015330M0015648M0015676M0015680M0015691M0015695M0015723M0015734M0015738M0015739M0015867M0016139M0017176M0017280M0017789M0017966M0017978M0018394M0018400M0018421M0018526M0019379M0019392M0019424M0019432M0019444M0019461M0019465M0019511M0019512M0019532M0019732M0019868M0019930M0019964M0020133M0020168M0020189M0020763M0020851M0021253M0022497M0022498M0022510M0022526M0023156M0023402M0023896M0023899M0023901M0023910M0023960M0024055M0024294M0024394M0024480M0024489M0024548M0024551M0024560M0024651M0025516M0026554M0028244M0028515M0029430M0030009M0030225M0030773M0030862M0031393M0032749M0034191M0034236M0034545M0034768M0037970M0038606M0038789M0038827M0038992M0039495M0039705M0039892M0039998M0040827M0041373M0041649M0042029M0043400M0043569M0044319M0044724M0045017M0045807M0050248M0050377M0050710M0051051M0051467M0051668M0052143M0052847M0053106M0053226M0053294M0053306M0053780M0053872M0053954M0053967M0054363M0055119M0055320M0055475M0055614M0055775M0056158M0057848M0057990M0058099M0058138M0058347M0059367M0059378M0059402M0059453M0059538M0060000M0060178M0060254M0060398M0060404M0060451M0061367M0061401M0061427M0061560M0061735M0061811M0061824M0061971M0062123M0062291M0063007M0063033M0063110M0063183M0063191M0063387M0063461M0064012M0064406M0064626M0069724M0074705M0074812M0074906M0076493M0076892M0076969M0082271M0084124M0084713M0084921M0095164M0095932M0096729M0101704M0103825M0108011M0109156M0111289M0111644M0112083M0113120M0114564M0114718M0114719M0114886M0114919M0114954M0115120M0115442M0115443M0115641M0115912M0115994M0116096M0116555M0116715M0116727M0116755M0116765M0116930M0117621M0117900M0118006M0118094M0118902M0119143M0119241M0119634M0119823M0120127M0121061M0121100M0121108M0121155M0121274M0121365M0121531M0121701M0121787M0121908M0122131M0122139M0122145M0122566M0122683M0122802M0125185M0125702M0125986M0126016M0126059M0126121M0126169M0126210M0126269M0126283M0127241","Development"
"3","Abnormal plants","http://rice.sinica.edu.tw/TRIM2/showTable.php?Q=3","
M0005368M0006058M0006120M0006134M0006187M0006201M0006351M0006423M0006520M0006791M0007086M0007141M0008585M0009674M0010157M0010334M0011301M0011670M0011814M0011880M0011898M0012656M0014164M0014263M0014310M0014337M0016551M0017607M0017880M0018233M0018235M0018421M0018599M0020462M0021603M0039649M0039705M0045888M0051018M0052952M0059318M0059319M0059321M0059481M0059535M0059538M0060178M0060443M0060746M0061406M0062163M0062987M0063044M0063232M0067150M0067357M0072789M0073672M0073792M0074749M0074942M0083005M0083105M0092660M0101664M0107720M0107721M0108011M0108929M0109920M0110246M0110342M0110656M0111250M0111289M0111644M0111884M0112083M0112193M0112346M0112897M0113142M0113159M0113409M0113718M0114054M0114119M0114383M0114394M0115622M0116796M0117061M0117307M0117386M0117387M0117986M0118001M0119041M0119527M0119678M0119748M0119885M0119974M0120288M0121557M0121681M0121735M0121778M0121928M0122799M0123186M0123327M0123406M0123466M0123495M0123641M0123740M0123967M0124358M0124567M0125176M0125702M0125865M0125952M0126169M0127391","Development"
"4","Weak","http://rice.sinica.edu.tw/TRIM2/showTable.php?Q=4","
M0004713M0004774M0004906M0004929M0005056M0005183M0005220M0005259M0005331M0005332M0005351M0005359M0005368M0005383M0005663M0005804M0005834M0005845M0005875M0006201M0006380M0006910M0007070M0007695M0007760M0007761M0007990M0007995M0008023M0008063M0008069M0008094M0008423M0008557M0008583M0008585M0008749M0008801M0008834M0008905M0008929M0008987M0009001M0009041M0009047M0009135M0009245M0009302M0009813M0009974M0010307M0010321M0010370M0010791M0011012M0011106M0011622M0011654M0011670M0011875M0012083M0012106M0012176M0013059M0013074M0013119M0014782M0014815M0014835M0014844M0014850M0014987M0015330M0015680M0015691M0015695M0015723M0015734M0015738M0015739M0016139M0017346M0017936M0017966M0017978M0018394M0018400M0018421M0018526M0018925M0020408M0021636M0024624M0025740M0027648M0027662M0028806M0031038M0031318M0031402M0032749M0032861M0032879M0032937M0033224M0033603M0033616M0033990M0034191M0034236M0034713M0034745M0034768M0034782M0037970M0038297M0038414M0038606M0038708M0038724M0038789M0038992M0039593M0039872M0040401M0040478M0041492M0041649M0042029M0044319M0044724M0045018M0045195M0045283M0045449M0045450M0051051M0051467M0052014M0052143M0052157M0052438M0052556M0052658M0053106M0053211M0053294M0053306M0053479M0053572M0058273M0058628M0058630M0059217M0059252M0059254M0059297M0059311M0059453M0060000M0060254M0060398M0060404M0060459M0060470M0060746M0061194M0061367M0061401M0061427M0061560M0061692M0061741M0061806M0061824M0061971M0062123M0062163M0062222M0062291M0062892M0062987M0063033M0063044M0063110M0063208M0063257M0063357M0063376M0063377M0063387M0063461M0065888M0066227M0068558M0068729M0068832M0069565M0069613M0070191M0070560M0072145M0073652M0074181M0074355M0074812M0075206M0075650M0076712M0076892M0076969M0076976M0077098M0077220M0078242M0078727M0080444M0080770M0081306M0082271M0082461M0083108M0084713M0084911M0085445M0085452M0085977M0086287M0086527M0086587M0089525M0094298M0094544M0095050M0095159M0095164M0095593M0095932M0102636M0106698M0107013M0107217M0107518M0109156M0109370M0110048M0110071M0110284M0110381M0111250M0111289M0111644M0111884M0112083M0112417M0113120M0113686M0114564M0114666M0114718M0114719M0114829M0114886M0114919M0114954M0115120M0115442M0115443M0115512M0115772M0115820M0115994M0116002M0116096M0116553M0116555M0116580M0116694M0116715M0116727M0116734M0116749M0116755M0116765M0117644M0117743M0117900M0117952M0118006M0118094M0118646M0119077M0119634M0119748M0119885M0119974M0120067M0120127M0121155M0121203M0121233M0121701M0122566M0122613M0122902M0123832M0125702M0125896M0125986M0126016M0126059M0126169M0126283M0127042","Development"
"5","Albino","http://rice.sinica.edu.tw/TRIM2/showTable.php?Q=11","
M0006217M0006324M0006380M0011174M0012656M0021181M0021479M0026220M0043617M0044340M0044724M0053479M0059122M0059402M0059442M0059453M0059462M0060005M0060367M0060371M0060451M0061478M0061824M0063461M0066980M0074812M0075872M0076208M0076575M0077445M0079970M0083409M0083611M0083821M0083921M0085977M0087171M0087400M0087552M0087776M0096139M0096216M0096507M0096650M0097314M0097804M0098714M0100422M0101954M0103511M0104582M0104926M0107758M0109156M0110451M0111463M0121100M0121908M0125185M0126210M0127306","Leaf Color"
"6","Yellow leaf","http://rice.sinica.edu.tw/TRIM2/showTable.php?Q=12","
M0004082M0004714M0004884M0004918M0006187M0006335M0008462M0009023M0009285M0009618M0009734M0013883M0019315M0021075M0021115M0021231M0026438M0032937M0036382M0059526M0060863M0063025M0063955M0064728M0064729M0065518M0066601M0067278M0067667M0067937M0074871M0076123M0076204M0076493M0077220M0077389M0078493M0078865M0081834M0083280M0083918M0084253M0087161M0089231M0091819M0096284M0096293M0096502M0097127M0097296M0097380M0099038M0099657M0099790M0101549M0104894M0105660M0105979M0106234M0106698M0108929M0110321M0112906M0114250M0114516M0114781M0114886M0115772M0116153M0116600M0117353M0118630M0119256M0119527M0121347M0124856M0124895M0127317M0127526","Leaf Color"
